"","x"
"326","ACNATP"
"327",""
"328",""
"329","LINC02048"
"330","LINC00392"
"331","CDY4P"
"332","LINC02474"
"333",""
"334","MYO5BP3"
"335","RPS3AP30"
"336","NLGN4Y-AS1"
"337","LINC02041"
"338","TTTY10"
"339",""
"340",""
"341","LINC01079"
"342",""
"343","PKP4P1"
"344","SPNS2-AS1"
"345","LINC01840"
"346",""
"347","STMND1"
"348","SCTR-AS1"
"349",""
"350","C1DP1"
"351",""
"352",""
"353",""
"354","LINC01249"
"355","LINC00278"
"356","DLX6-AS1"
"357","PGM5P4-AS1"
"358",""
"359",""
"360",""
"361","LINC01517"
"362",""
"363","DDX3ILA1"
"364","LINC01162"
"365","RGS5-AS1"
"366","ZFY-AS1"
"367",""
"368","LINC00460"
"369",""
"370","LINC01694"
"371","BOK-AS1"
"372","GAPDHP49"
"373","LINC01914"
"374",""
"375","C2CD4D-AS1"
"376","LINC02623"
"377","MLIP-AS1"
"378","LINC02532"
"379",""
"380",""
"381",""
"382","EYA2-AS1"
"383","LINC02889"
"384","LINC01639"
"385","TRHDE-AS1"
"386",""
"387","LINC02920"
"388","MED15P5"
"389","CNOT4P1"
"390","LINC01474"
"391","LINC02814"
"392","LINC01065"
"393","LINC00987"
"394",""
"395","LINC01502"
"396","LINC01522"
"397",""
"398","SCIRT"
"399","NFIA-AS2"
"400","LINC02806"
"401",""
"402","SLC9A3P2"
"403","PRR20G"
"404","ZNF736P9Y"
"405","LINC00973"
"406","CRIPTO"
"407",""
"408","ANOS2P"
"409",""
"410",""
"411","GTF2A1L"
"412","RPS3AP34"
"413","CYP4F34P"
"414","PTCHD4"
"415",""
"416","MARCOL"
"417","LINC01019"
"418","APELA"
"419","LINC02122"
"420","ASNSP1"
"421",""
"422","LINC02432"
"423","LINC02899"
"424",""
"425","IRX4-AS1"
"426","ENPP7P1"
"427",""
"428",""
"429",""
"430","VCAN-AS1"
"431",""
"432","LINC02891"
"433","GJD2-DT"
"434","LINC00603"
"435",""
"436",""
"437",""
"438",""
"439",""
"440",""
"441",""
"442",""
"443",""
"444","LINC02228"
"445","ERVH-1"
"446","LINC02475"
"447","IMPA1P1"
"448",""
"449","IGHV7-56"
"450","LINC00967"
"451","LINC02159"
"452","NKX2-1-AS1"
"453","IGLV7-35"
"454",""
"455",""
"456","FER1L6-AS2"
"457",""
"458","LINC03020"
"459","ANKRD33BP8"
"460","RTL1"
"461","LINC02688"
"462",""
"463",""
"464","ANKRD33BP9"
"465","GAU1"
"466","LINC02747"
"467",""
"468","TRDV3"
"469","SZRD1P1"
"470","GALNT9-AS1"
"471",""
"472","HP"
"473","AK6P2"
"474",""
"475",""
"476","LINC02300"
"477","ZNF75BP"
"478","CLUHP8"
"479",""
"480","LINC02461"
"481",""
"482","SPESP1"
"483",""
"484","LINC02303"
"485","LINC00930"
"486",""
"487","LINC02302"
"488","PTCSC3"
"489",""
"490",""
"491",""
"492","MTND5P32"
"493",""
"494","LINC02253"
"495",""
"496",""
"497","RPL7AP75"
"498","LYPD8"
"499",""
"500",""
"501",""
"502",""
"503","GOLGA2P11"
"504","LINC01413"
"505",""
"506",""
"507","STUB1-DT"
"508","MIR3147HG"
"509","PLA2G10CP"
"510","LINC02544"
"511",""
"512","LINC02188"
"513","CLEC19A"
"514",""
"515",""
"516","HPR"
"517","LINC00165"
"518","SSTR5-AS1"
"519","LINC02582"
"520",""
"521","LINC02141"
"522","LINC01996"
"523","BCAR4"
"524","LINC01979"
"525","MTND2P13"
"526","RHEX"
"527","LINC01894"
"528","VSTM2B-DT"
"529",""
"530",""
"531",""
"532",""
"533","LINC01443"
"534",""
"535","GAPLINC"
"536",""
"537",""
"538",""
"539","UCA1-AS1"
"540","CLEC4OP"
"541","UQCRFS1-DT"
"542",""
"543",""
"544","TSHZ3-AS1"
"545","LINC01791"
"546",""
"547",""
"548","ARL14EPL"
"549","VN1R90P"
"550",""
"551",""
"552",""
"553",""
"554",""
"555","RAP2CP1"
"556","CTHRC1P1"
"557",""
"558","OR13Z2P"
"559",""
"560",""
"561",""
"562",""
"563","LINC02970"
"564",""
"565",""
"566",""
"567",""
"568","TBC1D3D"
"569",""
"570",""
"571",""
"572","PICSAR"
"573",""
"574","VN1R9P"
"575","LINC00540"
"576",""
"577",""
"578",""
"579",""
"580",""
"581",""
"582",""
"583",""
"584",""
"585",""
"586","CDRT15P9"
"587","FAM230C"
"588",""
"589","LINC00552"
"590","LINC02906"
"591","PLAC4"
"592",""
"593",""
"594",""
"595","IGHV1-69D"
"596",""
"597",""
"598",""
"599","FOXCUT"
"600",""
"601",""
"602",""
"603",""
"604",""
"605",""
"606",""
"607",""
"608",""
"609",""
"610",""
"611",""
"612",""
"613",""
"614","LINC02858"
"615",""
"616",""
"617","LCAL1"
"618",""
"619",""
"620",""
"621","LINC00279"
"622",""
"623",""
"624",""
"625",""
"626",""
"627",""
"628",""
"629",""
"630",""
"631",""
"632",""
"633",""
"634",""
"635",""
"636",""
"637",""
"638",""
"639",""
"640",""
"641",""
"642",""
"643",""
"644",""
"645",""
"646",""
"647",""
"648",""
"649",""
"650",""
"651",""
"652",""
"653",""
"654","LNCDAT"
