"","x"
"326","FOXI1"
"327","SCNN1B"
"328","LGI3"
"329","LRP1B"
"330","CA7"
"331","HTR1E"
"332","PMCHL1"
"333","VCX3A"
"334","CXCL11"
"335","HSPB3"
"336","OR5AU1"
"337","SPRR1B"
"338","SPRR1A"
"339","CRCT1"
"340","ZNF280A"
"341","MUC15"
"342","BNC1"
"343","S100G"
"344","SERPINA9"
"345","SERPINA6"
"346","VSTM2A"
"347","KRT78"
"348","SDR9C7"
"349","KRT6C"
"350","KRT4"
"351","COX7B2"
"352","GTSF1"
"353","CELP"
"354","UGT2B7"
"355","KRT15"
"356","KRTAP4-4"
"357","KRT13"
"358","KRT27"
"359","CDK5R2"
"360","FGG"
"361","FGB"
"362","AQP4"
"363","CYP4F22"
"364","MAL"
"365","B3GALT1"
"366","PRSS27"
"367","NIPAL4"
"368","MS4A10"
"369","FADS6"
"370","KRT2"
"371","HPSE2"
"372","MAB21L3"
"373","C11orf86"
"374","DMRT2"
"375","DAB1"
"376","GPRC6A"
"377","HAP1"
"378","TDRD12"
"379","KRT28"
"380","GSTA3"
"381","IGDCC3"
"382","IL20RB"
"383","ZG16"
"384","WFDC5"
"385","PCSK1"
"386","ACRP1"
"387","DENND2C"
"388","ASCL3"
"389","CRYBG2"
"390",""
"391","NHLH2"
"392","MAMDC4"
"393","AMER3"
"394","SPINK6"
"395","FAM230I"
"396","CALML3"
"397","CALML5"
"398","DYNAP"
"399","FOXE1"
"400","C14orf39"
"401","ZFP42"
"402","ALOX12B"
"403","SLC17A8"
"404","MRGPRX3"
"405","ADGRD2"
"406","KRTAP9-7"
"407","CYP8B1"
"408","RNF182"
"409","CHRM4"
"410","CHRM2"
"411","SAGE1"
"412","ATG9B"
"413","OR4C6"
"414","USH1G"
"415","ENPP7"
"416","ZAR1"
"417","LIPF"
"418","TBPL2"
"419","VCX"
"420","EPGN"
"421","HCAR2"
"422","OTOP3"
"423","OTOP2"
"424","GBP6"
"425","PGPEP1L"
"426","PNMA3"
"427","S100A7A"
"428","OR56A3"
"429","GAST"
"430","SATL1"
"431","LINC00308"
"432","LCN12"
"433","AQP12A"
"434","LRRC14B"
"435","NPY2R"
"436","KRT6B"
"437","DLK1"
"438","PDIA2"
"439","POU3F1"
"440","NPAP1"
"441","TMPRSS11B"
"442","LCE3E"
"443","ATP4B"
"444","KRT5"
"445","CYP4F2"
"446","DEFB131A"
"447","KRT3"
"448","KLK12"
"449","CYP4F8"
"450","FOXI2"
"451","VSIG10L"
"452","KRT17P2"
"453","KRT16"
"454","KRT14"
"455","KRTAP17-1"
"456","TMPRSS11A"
"457","SLIT1"
"458","VSTM2B"
"459","CIDEC"
"460","EZHIP"
"461","LIN28B"
"462","P2RX2"
"463","ALOX15P2"
"464","IGFL1"
"465","GPR15LG"
"466","NCCRP1"
"467","KRTDAP"
"468","NKAIN2"
"469","KRTAP1-1"
"470","ASAH2"
"471","OR7E90P"
"472","VWC2"
"473","HMX2"
"474","KLRG2"
"475","SBSN"
"476","RNF222"
"477","IL1RAPL2"
"478",""
"479","SPANXN3"
"480","MYBPC1"
"481","STK31"
"482","ADH7"
"483","ESRRG"
"484","S100A2"
"485","SPRR2B"
"486","KRT39"
"487","KRT35"
"488","CYSRT1"
"489","SLC2A7"
"490","GUCA2A"
"491","FABP12"
"492","OR51D1"
"493","SERPINB2"
"494","SERPINB13"
"495","UGT2B17"
"496","HES5"
"497","TUBA3C"
"498","TMPRSS11F"
"499","CACNA1E"
"500",""
"501",""
"502","SLC34A3"
"503","PPP1R14C"
"504","PAX9"
"505","RYR3"
"506","CES1"
"507","RN7SKP22"
"508","SCUBE1-AS1"
"509","LINC00970"
"510","LINC02487"
"511","LORICRIN"
"512","SPRR2E"
"513","KPRP"
"514","PNLIPRP3"
"515","HSD3BP4"
"516","RBM20"
"517","LIPK"
"518","NXPE2"
"519","LY6G6C"
"520","MUC21"
"521","TRIM40"
"522","ZFP57"
"523","ASPDH"
"524","ST8SIA6-AS1"
"525","KRTAP4-8"
"526","KRTAP1-4"
"527","KRT40"
"528","KRT25"
"529","CD177"
"530","PCDHA2"
"531","ERICH4"
"532","PABPN1L"
"533","LGALS7"
"534","KRT6A"
"535","CALML3-AS1"
"536","OR7E136P"
"537","SERPINB11"
"538","SERPINB4"
"539","TRIM71"
"540","IGKV2D-26"
"541","IGKV1D-42"
"542","IGLV5-48"
"543","IGLV2-33"
"544","IGLV4-3"
"545","KRTAP16-1"
"546","KRTAP29-1"
"547","KRTAP3-3"
"548","KRTAP3-2"
"549","KRTAP3-1"
"550","CLNS1AP1"
"551","MAGEA12"
"552","KRT222"
"553","UGT2B11"
"554","TM6SF2"
"555","PDCL3P3"
"556","GNAT3"
"557","CAPN14"
"558","KRT16P3"
"559","KRT16P1"
"560","EVPLL"
"561","NPIPA7"
"562","MUC5AC"
"563","EFCAB8"
"564","ANKRD20A11P"
"565","LINC01139"
"566","RPTN"
"567","LINC00955"
"568","HSPD1P10"
"569","SP9"
"570","GPC1-AS1"
"571","OR4K12P"
"572",""
"573",""
"574",""
"575","KRTAP1-5"
"576","MYBPHL"
"577",""
"578","CYP4F32P"
"579","TINCR"
"580","RPL34P26"
"581",""
"582","LINC02471"
"583",""
"584","KRT224P"
"585",""
"586","PINCR"
"587","ZNF812P"
"588","VN1R21P"
"589","PRRT4"
"590","IGKV1OR9-2"
"591",""
"592","LINC01456"
"593",""
"594","KRT16P6"
"595","UBE2V2P1"
"596","CROCC2"
"597","MRPL23-AS1"
"598",""
"599","LINC01709"
"600","ANHX"
"601","RPL41P1"
"602","WDR11-DT"
"603",""
"604",""
"605",""
"606","SOX21-AS1"
"607","LINC00355"
"608","SNAP25-AS1"
"609",""
"610","LINC01820"
"611",""
"612","CYP4F29P"
"613",""
"614","LINC02663"
"615","LINC00954"
"616","HCG22"
"617","CT45A5"
"618","HOMER2P1"
"619","TMPRSS11GP"
"620","LINC01548"
"621","ANKRD20A8P"
"622","PGA4"
"623",""
"624","SPINK8"
"625","KRT16P4"
"626","NKX1-2"
"627","ZNF492"
"628",""
"629","XIST"
"630","KHSRPP1"
"631","PGA3"
"632","KRT16P5"
"633","LINC02641"
"634","CIBAR1P2"
"635",""
"636",""
"637",""
"638","LINC00486"
"639","MIR205HG"
"640","SNX18P13"
"641",""
"642","TRBV26OR9-2"
"643","EVA1A-AS"
"644","IGKV1OR2-108"
"645","LINC03078"
"646","KILH"
"647","LINC01611"
"648","DPY19L4P2"
"649","KRT17P3"
"650",""
"651",""
"652",""
"653","TBC1D3P7"
"654","LINC00702"
"655","BPIFB5P"
"656","RNF224"
"657","LINC01687"
"658",""
"659",""
"660","UICLM"
"661","BETALINC1"
"662",""
"663",""
"664","PAGE2"
"665",""
"666",""
"667","RHOXF1P1"
"668","CTSLP8"
"669","LINC01287"
"670","LINC02621"
"671",""
"672","KPNB1P1"
"673","OR7E62P"
"674","LINC02154"
"675",""
"676","OR7E145P"
"677","VN2R19P"
"678",""
"679","CCDST"
"680",""
"681","KRT43P"
"682","SIX3-AS1"
"683","BCYRN1"
"684","HOXD-AS2"
"685","NT5DC1P1"
"686",""
"687","LINC01497"
"688","NFYAP1"
"689","MKRN4P"
"690","PAGE2B"
"691","LINC01448"
"692","LINC02031"
"693","IGKV1-6"
"694","FAR2P3"
"695","IGKV1-17"
"696","C3orf85"
"697","IGKV2-24"
"698",""
"699","UGT1A1"
"700","SPRR2A"
"701",""
"702","MTCO3P38"
"703","UGT1A10"
"704","SERPINB10"
"705","CSAG4"
"706",""
"707","LINC01214"
"708","LEFTY1"
"709","GSTA1"
"710","IL12A-AS1"
"711","GSTA2"
"712","UGT1A7"
"713",""
"714","LINC01322"
"715","TM4SF18-AS1"
"716","UGT1A4"
"717","RPL31P23"
"718","PPM1K-DT"
"719","LINC02466"
"720",""
"721","LINC00613"
"722","LINC02434"
"723",""
"724","LINC02217"
"725",""
"726","LINC02484"
"727","KRTAP9-12P"
"728",""
"729","LINC01574"
"730","EPIST"
"731","TERLR1"
"732","LINC02149"
"733","IL20RB-AS1"
"734","PRELID3BP6"
"735","LINC01187"
"736",""
"737","LINC02261"
"738","TERB1"
"739","TMPRSS11BNL"
"740","LINC02377"
"741","GIMD1"
"742","LINC02200"
"743","FTLP10"
"744",""
"745","NPY2R-AS1"
"746","LINC02492"
"747",""
"748",""
"749",""
"750",""
"751","PRELID3BP4"
"752",""
"753","IGLV2-28"
"754",""
"755",""
"756","LINC01289"
"757",""
"758",""
"759",""
"760","IGLV1-41"
"761","LINC01608"
"762","IGHV1-17"
"763",""
"764",""
"765",""
"766",""
"767",""
"768",""
"769",""
"770",""
"771",""
"772","LINC02350"
"773",""
"774",""
"775","LINC02446"
"776",""
"777","SMLR1"
"778",""
"779","A2ML1-AS1"
"780","PGA5"
"781","CAPNS2"
"782","SLC5A8"
"783","MMP20-AS1"
"784","MGAM"
"785","MIR4307HG"
"786",""
"787","LINC02251"
"788",""
"789","LINC02274"
"790","LINC01595"
"791","LINC00648"
"792","RANBP20P"
"793",""
"794","LINC02490"
"795",""
"796",""
"797",""
"798",""
"799","NSFP1"
"800",""
"801",""
"802",""
"803",""
